processor,year,transistor_count,unit_type
DEC WRL MultiTitan,1988,180000,CPU
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",1988,250000,CPU
"Intel i960CA (32-bit, cache)",1989,600000,CPU
"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)",1989,1000000,CPU
"Intel 80486 (32-bit, 4 KB cache)",1989,1180235,CPU
"ARM 3 (32-bit, 4 KB cache)",1989,310000,CPU
"Motorola 68040 (32-bit, 8 KB caches)",1990,1200000,CPU
"R4000 (64-bit, 16 KB of caches)",1991,1350000,CPU
"ARM 6 (32-bit, no cache for this 60 variant)",1991,35000,CPU
"Hitachi SH-1 (32-bit, no cache)",1992,600000,CPU
"Intel i960CF (32-bit, cache)",1992,900000,CPU
"DEC Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",1992,1680000,CPU
"Hitachi HARP-1 (32-bit, cache)",1993,2800000,CPU
"Pentium (32-bit, 16 KB of caches)",1993,3100000,CPU
ARM700 (32-bit; 8 KB cache),1994,578977,CPU
"MuP21 (21-bit,[51] 40-pin; includes video)",1994,7000,CPU
"Motorola 68060 (32-bit, 16 KB of caches)",1994,2500000,CPU
"SA-110 (32-bit, 32 KB of caches)",1995,2500000,CPU
"Pentium Pro (32-bit, 16 KB of caches;[53] L2 cache on-package, but on separate die)",1995,5500000,CPU
"AMD K5 (32-bit, caches)",1996,4300000,CPU
"Hitachi SH-4 (32-bit, caches)",1997,10000000,CPU
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)",1997,7500000,CPU
"AMD K6 (32-bit, caches)",1997,8800000,CPU
F21 (21-bit; includes e.g. video),1997,15000,CPU
"AVR (8-bit, 40-pin; w/memory)",1997,140000,CPU
"Pentium II Deschutes (32-bit, large cache)",1998,7500000,CPU
"ARM 9TDMI (32-bit, no cache)",1999,111000,CPU
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)",1999,9500000,CPU
"Emotion Engine (64-bit, 128-bit SIMD, cache)",1999,13500000,CPU
"Pentium II Mobile Dixon (32-bit, caches)",1999,27400000,CPU
"AMD K6-III (32-bit, caches)",1999,21300000,CPU
"AMD K7 (32-bit, caches)",1999,22000000,CPU
"Gekko (32-bit, large cache)",2000,21000000,CPU
"Pentium III Coppermine (32-bit, large cache)",2000,21000000,CPU
"Pentium 4 Willamette (32-bit, large cache)",2000,42000000,CPU
"SPARC64 V (64-bit, large cache)",2001,191000000,CPU
"Pentium III Tualatin (32-bit, large cache)",2001,45000000,CPU
"Pentium 4 Northwood (32-bit, large cache)",2002,55000000,CPU
"Itanium 2 McKinley (64-bit, large cache)",2002,220000000,CPU
"DEC Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",2003,152000000,CPU
"Barton (32-bit, large cache)",2003,54300000,CPU
"AMD K8 (64-bit, large cache)",2003,105900000,CPU
Itanium 2 Madison 6M (64-bit),2003,410000000,CPU
"Pentium 4 Prescott (32-bit, large cache)",2004,112000000,CPU
"SPARC64 V+ (64-bit, large cache)",2004,400000000,CPU
Itanium 2 (64-bit;9 MB cache),2004,592000000,CPU
"Pentium 4 Prescott-2M (32-bit, large cache)",2005,169000000,CPU
"Pentium D Smithfield (32-bit, large cache)",2005,228000000,CPU
"Xenon (64-bit, 128-bit SIMD, large cache)",2005,165000000,CPU
"Cell (32-bit, cache)",2005,250000000,CPU
"Pentium 4 Cedar Mill (32-bit, large cache)",2006,184000000,CPU
"Pentium D Presler (32-bit, large cache)",2006,362000000,CPU
"Core 2 Duo Conroe (dual-core 64-bit, large caches)",2006,291000000,CPU
"Dual-core Itanium 2 (64-bit, SIMD, large caches)",2006,1700000000,CPU
"AMD K10 quad-core 2M L3 (64-bit, large caches)",2007,463000000,CPU
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)",2007,26000000,CPU
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)",2007,411000000,CPU
"POWER6 (64-bit, large caches)",2007,789000000,CPU
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)",2007,169000000,CPU
Uniphier,2007,250000000,CPU
"SPARC64 VI (64-bit, SIMD, large caches)",2007,540000000,CPU
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)",2008,230000000,CPU
"Core i7 (quad-core 64-bit, SIMD, large caches)",2008,731000000,CPU
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)",2008,758000000,CPU
"Atom (32-bit, large cache)",2008,47000000,CPU
"SPARC64 VII (64-bit, SIMD, large caches)",2008,600000000,CPU
"Six-core Xeon 7400 (64-bit, SIMD, large caches)",2008,1900000000,CPU
"Six-core Opteron 2400 (64-bit, SIMD, large caches)",2009,904000000,CPU
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",2009,760000000,CPU
"16-core SPARC T3 (64-bit, SIMD, large caches)",2010,1000000000,CPU
Six-core Core i7 (Gulftown),2010,1170000000,CPU
"8-core POWER7 32M L3 (64-bit, SIMD, large caches)",2010,1200000000,CPU
"Quad-core z196[75] (64-bit, very large caches)",2010,1400000000,CPU
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",2010,2000000000,CPU
"8-core Xeon Nehalem-EX (64-bit, SIMD, large caches)",2010,2300000000,CPU
"SPARC64 IXfx (64-bit, SIMD, large caches)",2011,1870000000,CPU
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)",2011,1160000000,CPU
"Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP) (64-bit, SIMD, large caches)",2011,2270000000,CPU
"10-core Xeon Westmere-EX (64-bit, SIMD, large caches)",2011,2600000000,CPU
"Atom ""Medfield"" (64-bit)",2012,432000000,CPU
"SPARC64 X (64-bit, SIMD, caches)",2012,2990000000,CPU
"8-core AMD Bulldozer (64-bit, SIMD, caches)",2012,1200000000,CPU
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)",2012,1303000000,CPU
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)",2012,1400000000,CPU
"8-core POWER7+ (64-bit, SIMD, 80 MB L3 cache)",2012,2100000000,CPU
"Six-core zEC12 (64-bit, SIMD, large caches)",2012,2750000000,CPU
"8-core Itanium Poulson (64-bit, SIMD, caches)",2012,3100000000,CPU
"61-core Xeon Phi (32-bit, 512-bit SIMD, caches)",2012,5000000000,CPU
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)",2013,1000000000,CPU
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)",2013,1860000000,CPU
"12-core POWER8 (64-bit, SIMD, caches)",2013,4200000000,CPU
"Xbox One main SoC (64-bit, SIMD, caches)",2013,5000000000,CPU
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",2014,1400000000,CPU
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2014,2000000000,CPU
"8-core Core i7 Haswell-E (64-bit, SIMD, caches)",2014,2600000000,CPU
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2014,3000000000,CPU
"15-core Xeon Ivy Bridge-EX (64-bit, SIMD, caches)",2014,4310000000,CPU
"18-core Xeon Haswell-E5 (64-bit, SIMD, caches)",2014,5560000000,CPU
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)",2015,1750000000,CPU
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",2015,1900000000,CPU
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2015,2000000000,CPU
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2015,2000000000,CPU
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2015,3000000000,CPU
"IBM z13 (64-bit, caches)",2015,3990000000,CPU
IBM z13 Storage Controller,2015,7100000000,CPU
"32-core SPARC M7 (64-bit, SIMD, caches)",2015,10000000000,CPU
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2016,3000000000,CPU
"10-core Core i7 Broadwell-E (64-bit, SIMD, caches)",2016,3200000000,CPU
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2016,3300000000,CPU
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2016,4000000000,CPU
"22-core Xeon Broadwell-E5 (64-bit, SIMD, caches)",2016,7200000000,CPU
"72-core Xeon Phi (64-bit, 512-bit SIMD, caches)",2016,8000000000,CPU
"Zip CPU (32-bit, for FPGAs)",2016,1286,CPU
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,5300000000,CPU
"Qualcomm Snapdragon 850  (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,5300000000,CPU
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,4300000000,CPU
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)",2017,4800000000,CPU
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",2017,4800000000,CPU
"Ryzen 5 1600 X Ryzen (64-bit, SIMD, caches)",2017,4800000000,CPU
"IBM z14 (64-bit, SIMD, caches)",2017,6100000000,CPU
IBM z14 Storage Controller (64-bit),2017,9700000000,CPU
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,5500000000,CPU
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)",2017,7000000000,CPU
"28-core Xeon Platinum 8180 (64-bit, SIMD, caches)",2017,8000000000,CPU
"POWER9 (64-bit, SIMD, caches)",2017,8000000000,CPU
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",2017,250000000,CPU
"SPARC64 XII (12-core 64-bit, SIMD, caches)",2017,5450000000,CPU
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,4300000000,CPU
"Centriq 2400 (64/32-bit, SIMD, caches)",2017,18000000000,CPU
"32-core AMD Epyc (64-bit, SIMD, caches)",2017,19200000000,CPU
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,8500000000,CPU
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,6900000000,CPU
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,6900000000,CPU
HiSilicon Kirin 990 5G,2019,10300000000,CPU
HiSilicon Kirin 990 4G,2019,8000000000,CPU
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,5500000000,CPU
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2018,10000000000,CPU
Apple A13 (iPhone 11 Pro),2019,8500000000,CPU
"Fujitsu A64FX (64/32-bit, SIMD, caches)",2018,8786000000,CPU
Tegra Xavier SoC (64/32-bit),2018,9000000000,CPU
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",2019,5990000000,CPU
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",2019,9890000000,CPU
"AMD Epyc Rome (64-bit, SIMD, caches)",2019,39540000000,CPU
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)[124][125]",2019,30000000000,CPU
µPD7220 GDC,1982,40000,GPU
ARTC HD63484,1984,60000,GPU
YM7101 VDP,1988,100000,GPU
Tom & Jerry,1993,750000,GPU
VDP1,1994,1000000,GPU
Sony GPU,1994,1000000,GPU
NV1,1995,1000000,GPU
Reality Coprocessor,1996,2600000,GPU
PowerVR,1996,1200000,GPU
Voodoo Graphics,1996,1000000,GPU
Voodoo Rush,1997,1000000,GPU
NV3,1997,3500000,GPU
PowerVR2 CLX2,1998,10000000,GPU
i740,1998,3500000,GPU
Voodoo 2,1998,4000000,GPU
Voodoo Rush,1998,4000000,GPU
Riva TNT,1998,7000000,GPU
PowerVR2 PMX1,1999,6000000,GPU
Rage 128,1999,8000000,GPU
Voodoo 3,1999,8100000,GPU
Graphics Synthesizer,1999,43000000,GPU
NV5,1999,15000000,GPU
NV10,1999,17000000,GPU
Voodoo 4,2000,14000000,GPU
NV11,2000,20000000,GPU
NV15,2000,25000000,GPU
Voodoo 5,2000,28000000,GPU
R100,2000,30000000,GPU
Flipper,2000,51000000,GPU
PowerVR3 KYRO,2001,14000000,GPU
PowerVR3 KYRO II,2001,15000000,GPU
NV2A,2001,60000000,GPU
NV20,2001,57000000,GPU
R200,2001,60000000,GPU
NV25,2002,63000000,GPU
R300,2002,107000000,GPU
R360,2003,117000000,GPU
NV38,2003,135000000,GPU
R480,2004,160000000,GPU
NV40,2004,222000000,GPU
Xenos,2005,232000000,GPU
